,Date,Open*,High,Low,Close**,Volume,Market Cap
188,"Jun 13, 2019",8145.55,8311.57,8087.06,8230.92,"18,669,407,147","146,160,317,148"
189,"Jun 12, 2019",7925.43,8196.65,7862.36,8145.86,"19,034,432,883","144,634,684,711"
190,"Jun 11, 2019",8004.24,8026.39,7772.8,7927.71,"17,107,279,932","140,748,537,530"
191,"Jun 10, 2019",7692.28,8031.91,7586.73,8000.33,"18,689,275,117","142,023,351,079"
192,"Jun 09, 2019",7949.67,7975.97,7583.22,7688.08,"16,610,726,547","136,465,098,533"
193,"Jun 08, 2019",8036.77,8076.89,7837.61,7954.13,"16,522,722,810","141,172,841,635"
194,"Jun 07, 2019",7826.9,8126.15,7788.37,8043.95,"19,141,423,231","142,754,693,588"
195,"Jun 06, 2019",7819.63,7937.34,7571.47,7822.02,"19,474,611,077","138,800,725,479"
196,"Jun 05, 2019",7704.34,7901.85,7668.67,7824.23,"21,760,923,463","138,824,651,666"
197,"Jun 04, 2019",8210.99,8210.99,7564.49,7707.77,"24,609,731,549","136,742,790,469"
198,"Jun 03, 2019",8741.75,8743.5,8204.19,8208.99,"22,004,511,436","145,619,047,341"
199,"Jun 02, 2019",8565.47,8809.3,8561.24,8742.96,"20,266,216,022","155,077,231,351"
200,"Jun 01, 2019",8573.84,8625.6,8481.58,8564.02,"22,488,303,544","151,890,214,310"
201,"May 31, 2019",8320.29,8586.66,8172.55,8574.5,"25,365,190,957","152,059,886,414"
202,"May 30, 2019",8661.76,9008.31,8221.27,8319.47,"29,246,528,551","147,525,141,134"
203,"May 29, 2019",8718.59,8755.85,8482.73,8659.49,"23,473,479,966","153,537,047,655"
204,"May 28, 2019",8802.76,8807.02,8634.72,8719.96,"24,226,919,267","154,590,202,287"
205,"May 27, 2019",8674.07,8907.17,8668.7,8805.78,"27,949,839,564","156,093,754,762"
206,"May 26, 2019",8055.21,8687.52,7924.67,8673.22,"26,677,970,091","153,725,486,067"
207,"May 25, 2019",7991.89,8117.93,7965.98,8052.54,"22,256,813,107","142,708,188,838"
208,"May 24, 2019",7881.7,8140.72,7824.45,7987.37,"25,919,126,991","141,539,115,575"
209,"May 23, 2019",7677.27,7943.79,7533.2,7881.85,"24,457,107,820","139,654,107,035"
210,"May 22, 2019",7956.29,7997.61,7615.99,7680.07,"24,719,473,175","136,063,898,960"
211,"May 21, 2019",7977.97,8062.17,7843.34,7963.33,"25,127,245,056","141,065,573,610"
212,"May 20, 2019",8196.92,8200.97,7678.78,7978.31,"23,843,404,340","141,315,695,728"
213,"May 19, 2019",7267.96,8261.94,7267.96,8197.69,"25,902,422,040","145,185,076,705"
214,"May 18, 2019",7341.66,7447.27,7251.5,7271.21,"21,354,286,562","128,761,727,083"
215,"May 17, 2019",7886.93,7929.15,7038.12,7343.9,"30,066,644,905","130,034,777,633"
216,"May 16, 2019",8194.5,8320.82,7729.61,7884.91,"33,167,197,581","139,599,559,278"
217,"May 15, 2019",7989.37,8216.42,7899.11,8205.17,"28,344,112,920","145,254,332,460"
218,"May 14, 2019",7807.88,8268.71,7696.39,7994.42,"32,031,452,227","141,508,656,735"
219,"May 13, 2019",6971.18,8047.41,6898.28,7814.92,"28,677,672,181","138,316,573,807"
220,"May 12, 2019",7203.51,7503.87,6815.77,6972.37,"27,773,333,680","123,389,710,222"
221,"May 11, 2019",6379.67,7333.0,6375.7,7204.77,"28,867,562,329","127,488,435,181"
222,"May 10, 2019",6175.82,6434.62,6161.52,6378.85,"19,419,875,368","112,863,284,035"
223,"May 09, 2019",5982.32,6183.04,5982.32,6174.53,"16,784,645,411","109,238,600,750"
224,"May 08, 2019",5849.48,5989.98,5794.72,5982.46,"15,320,605,300","105,829,143,585"
225,"May 07, 2019",5745.6,5988.18,5741.4,5829.5,"18,026,409,033","103,112,368,557"
226,"May 06, 2019",5791.69,5802.96,5653.69,5746.81,"15,737,171,804","101,640,471,056"
227,"May 05, 2019",5831.07,5833.86,5708.04,5795.71,"14,808,830,723","102,494,420,158"
228,"May 04, 2019",5769.2,5886.89,5645.47,5831.17,"17,567,780,766","103,112,021,259"
229,"May 03, 2019",5505.55,5865.88,5490.2,5768.29,"18,720,780,006","101,986,240,859"
230,"May 02, 2019",5402.42,5522.26,5394.22,5505.28,"14,644,460,907","97,330,112,147"
231,"May 01, 2019",5350.91,5418.0,5347.65,5402.7,"13,679,528,236","95,501,110,091"
232,"Apr 30, 2019",5247.73,5363.26,5224.19,5350.73,"13,878,964,574","94,573,826,827"
233,"Apr 29, 2019",5284.86,5311.27,5216.49,5247.35,"13,735,490,672","92,737,510,865"
234,"Apr 28, 2019",5271.75,5326.23,5255.68,5285.14,"12,819,992,056","93,391,244,395"
235,"Apr 27, 2019",5279.47,5310.75,5233.64,5268.29,"13,111,274,675","93,086,156,556"
236,"Apr 26, 2019",5210.3,5383.63,5177.37,5279.35,"16,812,108,040","93,272,287,960"
237,"Apr 25, 2019",5466.52,5542.24,5181.34,5210.52,"15,330,283,408","92,046,492,864"
238,"Apr 24, 2019",5571.51,5642.04,5418.26,5464.87,"17,048,033,399","96,530,038,144"
239,"Apr 23, 2019",5399.37,5633.8,5389.41,5572.36,"15,867,308,108","98,417,387,004"
240,"Apr 22, 2019",5312.49,5422.69,5280.28,5399.37,"14,601,631,648","95,354,207,776"
241,"Apr 21, 2019",5335.88,5359.93,5257.34,5314.53,"13,731,844,223","93,847,052,256"
242,"Apr 20, 2019",5304.16,5358.49,5295.88,5337.89,"13,169,647,522","94,248,717,444"
243,"Apr 19, 2019",5298.15,5336.68,5233.34,5303.81,"13,780,238,655","93,638,345,002"
